Chapter,Question,Answer
46,What is the difference between a food chain and a food web?,"A food chain is a linear sequence of organisms that consume others, while a food web is a complex network of these interactions."
46,What is nitrogen fixation?,Nitrogen fixation is the process by which certain microorganisms convert atmospheric nitrogen into a form that can be used by living organisms.
46,What is eutrophication?,"Eutrophication is the excessive richness of nutrients in an aquatic system, leading to an overgrowth of algae and depletion of dissolved oxygen."
46,What is a pyramid of numbers?,"A pyramid of numbers is a graphical representation of the number of individuals at each trophic level in an ecosystem, with the largest number at the base and decreasing numbers as you move upward."
46,What is dead zoning?,"Dead zones are areas where there is little to no oxygen available for aquatic organisms, caused by excess nutrients stimulating algal growth and subsequent decay."
46,What is the difference between grazing and detritus food webs?,"Grazing food webs are based on consuming plants directly, while detritus food webs are based on decomposing plant material."
46,What is a holistic model in ecology?,"A holistic model in ecology is an approach that views the system as a whole, without breaking it down into its component parts."
46,What is analytical modeling in ecology?,Analytical modeling in ecology is the use of mathematical equations to simulate the behavior of an ecosystem and make predictions about future changes.
47,What is the current estimated number of described species on Earth?,"The current estimated number of described species on Earth is about 150,000."
47,What defines a mass extinction?,A mass extinction is defined as a loss of 95 percent or more of all the species on the planet.
47,How do exotic species introduce risks for native ecosystems?,Exotic species are especially threatening to island ecosystems.
47,Which two extinction risks may be a direct result of climate change and exotic species introduction through the pet trade?,Overharvesting and habitat loss due to climate change and exotic species introduction through the pet trade.
47,What is an ecosystem service that performs the same function as a pesticide?,Pollination is an ecosystem service that performs the same function as a pesticide.
47,Which two methods are used to calculate contemporary extinction rates?,The two methods used to calculate contemporary extinction rates are the fossil record method and the molecular method.
47,What is an example of a secondary plant compound that could be used for medicinal purposes?,An example of a secondary plant compound that could be used for medicinal purposes is antimicrobial peptides.
47,What is the name of the first international agreement on climate change?,The name of the first international agreement on climate change is the Kyoto Protocol.
